종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
117580,대성에너지,KOSPI,전기가스업,9160,-110,-1.19,251900000000
16710,대성홀딩스,KOSPI,서비스업,8760,30,0.34,140943660840
3540,대신증권,KOSPI,증권,17200,60,0.35,873302480000
3547,대신증권2우B,KOSPI,증권,14360,-50,-0.35,143600000000
3545,대신증권우,KOSPI,증권,15020,-20,-0.13,390520000000
9190,대양금속,KOSPI,철강금속,1602,10,0.63,63453281580
14160,대영포장,KOSPI,종이목재,1131,12,1.07,122594234919
47040,대우건설,KOSPI,건설업,3745,45,1.22,1556506779310
9320,대우부품,KOSPI,운수장비,1220,-6,-0.49,60145719400
3090,대웅,KOSPI,의약품,20350,1050,5.44,1183189293000
69620,대웅제약,KOSPI,의약품,114400,4000,3.62,1325504180000
430,대원강업,KOSPI,운수장비,5280,20,0.38,327360000000
6340,대원전선,KOSPI,전기전자,4115,270,7.02,308539305125
6345,대원전선우,KOSPI,전기전자,5650,120,2.17,14809780000
3220,대원제약,KOSPI,의약품,14380,20,0.14,319094989720
24890,대원화성,KOSPI,화학,1518,14,0.93,62616212736
2880,대유에이텍,KOSPI,운수장비,1255,-1,-0.08,58663745100
300,대유플러스,KOSPI,전기전자,241,0,0,30475633069
12800,대창,KOSPI,철강금속,1455,38,2.68,132609426045
15230,대창단조,KOSPI,운수장비,5250,40,0.77,150004207500
1070,대한방직,KOSPI,섬유의복,6160,-40,-0.65,32648000000
6650,대한유화,KOSPI,화학,127700,800,0.63,830050000000
1440,대한전선,KOSPI,전기전자,14440,10,0.07,2692299012000
84010,대한제강,KOSPI,철강금속,11980,-200,-1.64,280504476060
1790,대한제당,KOSPI,음식료품,3065,40,1.32,274920017700
1795,대한제당우,KOSPI,음식료품,2755,5,0.18,17860003800
1130,대한제분,KOSPI,음식료품,142800,400,0.28,241332000000
3490,대한항공,KOSPI,운수창고업,22800,150,0.66,8395431070800
3495,대한항공우,KOSPI,운수창고업,23800,100,0.42,26436897200
5880,대한해운,KOSPI,운수창고업,2490,-20,-0.8,794751875400
3830,대한화섬,KOSPI,화학,105500,-1100,-1.03,140104000000
16090,대현,KOSPI,섬유의복,1927,-1,-0.05,85332011370
69460,대호에이엘,KOSPI,철강금속,1201,-24,-1.96,81121420096
192080,더블유게임즈,KOSPI,서비스업,46600,1150,2.53,1001709219600
12510,더존비즈온,KOSPI,서비스업,74400,-600,-0.8,2260479129600
4830,덕성,KOSPI,화학,7790,120,1.56,122147200000
4835,덕성우,KOSPI,화학,11970,220,1.87,16662240000
24900,덕양산업,KOSPI,운수장비,4120,25,0.61,134167717600
145720,덴티움,KOSPI,의료정밀,111100,1800,1.65,1229747013000
2150,도화엔지니어링,KOSPI,서비스업,7520,0,0,253574400000
460850,동국씨엠,KOSPI,철강금속,6750,30,0.45,201815928000
460860,동국제강,KOSPI,철강금속,9450,-10,-0.11,468795760650
1230,동국홀딩스,KOSPI,기타금융,8300,-10,-0.12,263944008900
23450,동남합성,KOSPI,화학,31700,100,0.32,110950000000
4140,동방,KOSPI,운수창고업,2975,130,4.57,142716003850
7590,동방아그로,KOSPI,화학,6330,0,0,86199262410
5960,동부건설,KOSPI,건설업,4805,25,0.52,110257187725
5965,동부건설우,KOSPI,건설업,22650,50,0.22,5112829800
26960,동서,KOSPI,유통업,19140,-180,-0.93,1908258000000
2210,동성제약,KOSPI,의약품,4750,0,0,123979607500
102260,동성케미컬,KOSPI,서비스업,4395,-5,-0.11,218386354560
640,동아쏘시오홀딩스,KOSPI,기타금융,106400,-3500,-3.18,675524343200
170900,동아에스티,KOSPI,의약품,67800,-400,-0.59,599015101800
28100,동아지질,KOSPI,건설업,12860,120,0.94,180717027560
282690,동아타이어,KOSPI,화학,12410,40,0.32,170426716150
1520,동양,KOSPI,비금속광물,872,2,0.23,208132502936
1527,동양2우B,KOSPI,비금속광물,10300,-460,-4.28,3178260700
84670,동양고속,KOSPI,운수창고업,9660,20,0.21,27971196540
82640,동양생명,KOSPI,보험,7440,-560,-7,1200507872400
1525,동양우,KOSPI,비금속광물,5110,-60,-1.16,3156605410
8970,동양철관,KOSPI,철강금속,976,2,0.21,140198372048
92780,동양피스톤,KOSPI,운수장비,6610,-60,-0.9,87043520600
49770,동원F&B,KOSPI,음식료품,43700,2900,7.11,843218594000
18500,동원금속,KOSPI,운수장비,1662,8,0.48,77706698646
6040,동원산업,KOSPI,기타금융,34750,950,2.81,1251760851250
30720,동원수산,KOSPI,"농업, 임업 및 어업",6940,460,7.1,32297406700
14820,동원시스템즈,KOSPI,화학,46350,1300,2.89,1343745920700
14825,동원시스템즈우,KOSPI,화학,24300,550,2.32,6417897300
