종목코드	종목명	시장구분	업종명	종가	대비	등락률	시가총액
065560	녹원씨엔아이	KOSDAQ	출판·매체복제	"11,540"	0	0.00	"150,366,915,480"
054050	농우바이오	KOSDAQ	"농업, 임업 및 어업"	"8,050"	-50	-0.62	"129,046,016,050"
069140	누리플랜	KOSDAQ	금속	"2,830"	-145	-4.87	"20,100,762,690"
040160	누리플렉스	KOSDAQ	소프트웨어	"5,840"	140	2.46	"70,404,324,400"
332290	누보	KOSDAQ	화학	"1,702"	19	1.13	"56,820,934,706"
348340	뉴로메카	KOSDAQ	기계·장비	"33,700"	200	0.60	"352,039,299,000"
060260	뉴보텍	KOSDAQ	화학	836	-11	-1.30	"34,744,197,620"
012340	뉴인텍	KOSDAQ	운송장비·부품	"1,121"	8	0.72	"57,066,928,602"
214870	뉴지랩파마	KOSDAQ	유통	"1,383"	0	0.00	"45,813,404,598"
270870	뉴트리	KOSDAQ	음식료·담배	"6,760"	100	1.50	"62,193,514,240"
144960	뉴파워프라즈마	KOSDAQ	기계·장비	"5,090"	-120	-2.30	"222,395,456,160"
085670	뉴프렉스	KOSDAQ	IT부품	"5,490"	0	0.00	"134,234,677,890"
064260	다날	KOSDAQ	디지털컨텐츠	"4,085"	125	3.16	"281,656,828,400"
340360	다보링크	KOSDAQ	통신장비	"2,310"	-35	-1.49	"98,787,519,600"
039560	다산네트웍스	KOSDAQ	통신장비	"3,820"	40	1.06	"150,912,847,420"
154040	다산솔루에타	KOSDAQ	IT부품	"2,015"	0	0.00	"36,169,439,410"
032190	다우데이타	KOSDAQ	유통	"12,430"	-100	-0.80	"476,069,000,000"
068240	다원시스	KOSDAQ	IT부품	"14,540"	50	0.35	"498,190,373,980"
020400	대동금속	KOSDAQ	금속	"8,660"	-50	-0.57	"27,618,177,560"
008830	대동기어	KOSDAQ	기계·장비	"7,670"	-20	-0.26	"68,934,278,400"
048470	대동스틸	KOSDAQ	금속	"3,600"	25	0.70	"36,000,000,000"
004780	대륙제관	KOSDAQ	금속	"4,160"	20	0.48	"66,157,307,840"
017650	대림제지	KOSDAQ	종이·목재	"8,050"	-10	-0.12	"72,450,000,000"
007720	대명소노시즌	KOSDAQ	유통	617	2	0.33	"62,193,877,650"
389260	대명에너지	KOSDAQ	건설	"16,590"	390	2.41	"282,859,500,000"
317850	대모	KOSDAQ	기계·장비	"9,350"	50	0.54	"77,833,327,000"
290670	대보마그네틱	KOSDAQ	기계·장비	"29,650"	300	1.02	"232,979,619,000"
078140	대봉엘에스	KOSDAQ	제약	"8,480"	0	0.00	"94,014,189,920"
036480	대성미생물	KOSDAQ	제약	"10,620"	-90	-0.84	"40,356,000,000"
027830	대성창투	KOSDAQ	금융	"2,385"	60	2.58	"128,790,000,000"
104040	대성파인텍	KOSDAQ	운송장비·부품	"1,206"	-7	-0.58	"37,749,344,886"
129920	대성하이텍	KOSDAQ	기계·장비	"6,320"	0	0.00	"86,679,134,960"
438220	대신밸런스제13호스팩	KOSDAQ	금융	"2,275"	0	0.00	"12,831,000,000"
442310	대신밸런스제14호스팩	KOSDAQ	금융	"2,135"	30	1.43	"14,325,850,000"
457390	대신밸런스제15호스팩	KOSDAQ	금융	"2,080"	0	0.00	"14,632,800,000"
457630	대신밸런스제16호스팩	KOSDAQ	금융	"2,370"	10	0.42	"17,324,700,000"
020180	대신정보통신	KOSDAQ	컴퓨터서비스	"1,264"	-29	-2.24	"48,574,148,560"
045390	대아티아이	KOSDAQ	일반전기전자	"3,450"	-30	-0.86	"243,133,150,650"
108380	대양전기공업	KOSDAQ	운송장비·부품	"11,600"	-10	-0.09	"110,981,062,800"
006580	대양제지	KOSDAQ	종이·목재	"3,085"	-45	-1.44	"82,832,250,000"
007680	대원	KOSDAQ	건설	"5,270"	-10	-0.19	"70,862,917,980"
048910	대원미디어	KOSDAQ	유통	"12,070"	270	2.29	"151,827,878,220"
005710	대원산업	KOSDAQ	운송장비·부품	"5,780"	-120	-2.03	"115,817,328,000"
290380	대유	KOSDAQ	화학	"2,300"	0	0.00	"56,841,307,600"
290120	대유에이피	KOSDAQ	운송장비·부품	"3,960"	-100	-2.46	"51,183,348,480"
120240	대정화금	KOSDAQ	화학	"16,730"	-60	-0.36	"120,295,241,430"
003310	대주산업	KOSDAQ	음식료·담배	"1,743"	-5	-0.29	"61,688,866,050"
078600	대주전자재료	KOSDAQ	IT부품	"81,200"	"1,200"	1.50	"1,257,024,151,600"
096350	대창솔루션	KOSDAQ	금속	475	-5	-1.04	"77,786,479,275"
140520	대창스틸	KOSDAQ	금속	"2,640"	20	0.76	"55,728,401,520"
131220	대한과학	KOSDAQ	유통	"6,190"	40	0.65	"46,143,293,100"
010170	대한광통신	KOSDAQ	일반전기전자	"1,366"	4	0.29	"101,782,252,756"
054670	대한뉴팜	KOSDAQ	제약	"9,000"	80	0.90	"129,194,280,000"
023910	대한약품	KOSDAQ	제약	"27,700"	0	0.00	"166,200,000,000"
021040	대호특수강	KOSDAQ	금속	"4,165"	15	0.36	"45,200,191,855"
021045	대호특수강우	KOSDAQ	금속	"7,850"	650	9.03	"3,330,331,100"
067080	대화제약	KOSDAQ	제약	"10,140"	130	1.30	"188,772,831,000"
298540	더네이쳐홀딩스	KOSDAQ	섬유·의류	"18,650"	200	1.08	"274,352,242,400"
032860	더라미	KOSDAQ	기타서비스	"3,640"	0	0.00	"143,288,374,320"
393890	더블유씨피	KOSDAQ	일반전기전자	"43,250"	"2,000"	4.85	"1,457,374,403,500"
299170	더블유에스아이	KOSDAQ	유통	"1,920"	12	0.63	"57,653,688,960"
224060	더코디	KOSDAQ	반도체	"6,310"	-170	-2.62	"29,962,391,380"
213420	덕산네오룩스	KOSDAQ	반도체	"46,300"	"-1,050"	-2.22	"1,149,683,587,700"
317330	덕산테코피아	KOSDAQ	반도체	"17,250"	-300	-1.71	"317,010,633,000"
077360	덕산하이메탈	KOSDAQ	일반전기전자	"6,930"	-230	-3.21	"314,878,423,860"
090410	덕신하우징	KOSDAQ	금속	"2,095"	0	0.00	"96,546,179,025"
263600	덕우전자	KOSDAQ	일반전기전자	"7,610"	-40	-0.52	"121,229,659,100"
194480	데브시스터즈	KOSDAQ	디지털컨텐츠	"46,400"	600	1.31	"556,157,824,000"
263800	데이타솔루션	KOSDAQ	정보기기	"5,310"	50	0.95	"86,108,977,800"
206560	덱스터	KOSDAQ	오락·문화	"7,540"	-140	-1.82	"191,604,489,440"
261200	덴티스	KOSDAQ	의료·정밀기기	"9,100"	50	0.55	"143,364,512,200"
067990	도이치모터스	KOSDAQ	유통	"5,030"	-20	-0.40	"161,873,196,500"
006620	동구바이오제약	KOSDAQ	제약	"5,590"	60	1.08	"159,119,305,280"
100130	동국S&C	KOSDAQ	금속	"3,220"	-15	-0.46	"184,000,460,000"
005160	동국산업	KOSDAQ	금속	"4,760"	-10	-0.21	"258,203,734,320"
075970	동국알앤에스	KOSDAQ	비금속	"3,355"	5	0.15	"61,732,000,000"
086450	동국제약	KOSDAQ	제약	"15,350"	100	0.66	"682,461,000,000"
099410	동방선기	KOSDAQ	운송장비·부품	"2,350"	-25	-1.05	"31,821,354,700"
033500	동성화인텍	KOSDAQ	화학	"12,390"	-130	-1.04	"371,569,830,660"
025950	동신건설	KOSDAQ	건설	"17,530"	-110	-0.62	"147,252,000,000"
088130	동아엘텍	KOSDAQ	기계·장비	"6,130"	-20	-0.33	"65,363,809,940"
041930	동아화성	KOSDAQ	화학	"7,950"	10	0.13	"125,610,000,000"
060380	동양에스텍	KOSDAQ	금속	"2,060"	-10	-0.48	"40,582,000,000"
079960	동양이엔피	KOSDAQ	IT부품	"20,250"	-700	-3.34	"159,165,000,000"
228340	동양파일	KOSDAQ	비금속	"2,795"	-40	-1.41	"55,900,000,000"
088910	동우팜투테이블	KOSDAQ	음식료·담배	"2,990"	-30	-0.99	"77,236,974,360"
094170	동운아나텍	KOSDAQ	반도체	"20,700"	"-1,750"	-7.80	"392,322,566,700"
013120	동원개발	KOSDAQ	건설	"3,455"	10	0.29	"313,741,985,500"
109860	동일금속	KOSDAQ	금속	"9,220"	30	0.33	"83,902,000,000"
032960	동일기연	KOSDAQ	IT부품	"12,600"	100	0.80	"47,961,761,400"
023790	동일철강	KOSDAQ	금속	"1,544"	14	0.92	"24,716,853,800"
005290	동진쎄미켐	KOSDAQ	반도체	"36,850"	-800	-2.12	"1,894,624,103,900"
025900	동화기업	KOSDAQ	종이·목재	"68,200"	"1,900"	2.87	"1,378,689,939,000"
