ex_dividend_date	record_date	payment_date	ticker_symbol	dividend_per_share
2022-12-30	2022-12-31	2023-04-13	093050	700.0
2022-12-30	2022-12-31	2023-04-12	003550	3000.0
2022-12-30	2022-12-31	2023-04-12	003555	3050.0
2022-12-30	2022-12-31	2023-04-05	051900	4000.0
2022-12-30	2022-12-31	2023-04-05	051905	4050.0
2022-12-30	2022-12-31	2023-04-14	032640	400.0
2022-12-30	2022-12-31	2023-04-21	011070	4150.0
2022-12-30	2022-12-31	2023-04-26	066570	700.0
2022-12-30	2022-12-31	2023-04-26	066575	750.0
2022-12-30	2022-12-31	2023-04-26	051910	10000.0
2022-12-30	2022-12-31	2023-04-26	051915	10050.0
2022-12-30	2022-12-31	2023-04-07	006260	1550.0
2022-12-30	2022-12-31	2023-04-21	108320	4500.0
2022-12-30	2022-12-31	2023-04-19	001120	3000.0
2022-12-30	2022-12-31	2023-04-21	108670	200.0
2022-12-30	2022-12-31	2023-04-21	108675	250.0
2022-12-30	2022-12-31	2023-04-21	023150	250.0
2022-12-30	2022-12-31	2023-04-13	005940	700.0
2022-12-30	2022-12-31	2023-04-13	005945	750.0
2022-12-30	2022-12-31	2023-04-24	034310	410.0
2022-12-30	2022-12-31	2023-04-07	010060	2500.0
2022-12-30	2022-12-31	2023-04-28	010950	3000.0
2022-12-30	2022-12-31	2023-04-28	010955	3025.0
2022-12-30	2022-12-31	2023-04-20	002360	10.0
2022-12-30	2022-12-31	2023-04-20	002365	15.0
2022-12-30	2022-12-31	2023-04-28	034730	3500.0
2022-12-30	2022-12-31	2023-04-28	03473K	3550.0
2022-12-30	2022-12-31	2023-04-20	011790	1100.0
2022-12-30	2022-12-31	2023-04-21	018670	5500.0
2022-12-30	2022-12-31	2023-04-21	001740	120.0
2022-12-30	2022-12-31	2023-04-21	001745	145.0
2022-12-30	2022-12-31	2023-04-28	003340	600.0
2022-12-30	2022-12-31	2023-04-28	00334N	31533.0
2022-12-30	2022-12-31	2023-04-28	00334P	600.0
2022-12-30	2022-12-31	2023-04-28	00334K	0.0
2022-12-30	2022-12-31	2023-04-28	00334L	0.0
2022-12-30	2022-12-31	2023-04-28	001510	5.0
2022-12-30	2022-12-31	2023-04-28	001515	10.0
2022-12-30	2022-12-31	2023-04-27	285130	1100.0
2022-12-30	2022-12-31	2023-04-27	28513K	1150.0
2022-12-30	2022-12-31	2023-04-27	017670	830.0
2022-12-30	2022-12-31	2023-04-28	048770	25.0
2022-12-30	2022-12-31	2023-04-14	122870	250.0
2022-12-30	2022-12-31	2023-04-19	051390	150.0
2022-12-30	2022-12-31	2023-04-06	079940	70.0
2022-12-30	2022-12-31	2023-04-07	000500	50.0
2022-12-30	2022-12-31	2023-04-27	000860	500.0
2022-12-30	2022-12-31	2023-04-26	035250	350.0
2022-12-30	2022-12-31	2023-04-24	094480	45.0
2022-12-30	2022-12-31	2023-04-19	061710	0.0
2022-12-30	2022-12-31	2023-04-03	039240	130.0
2022-12-30	2022-12-31	2023-04-11	002100	400.0
2022-12-30	2022-12-31	2023-04-06	009450	500.0
2022-12-30	2022-12-31	2023-04-21	267290	875.0
2022-12-30	2022-12-31	2023-04-26	012320	750.0
2022-12-30	2022-12-31	2023-04-18	011040	400.0
2022-12-30	2022-12-31	2023-04-14	000050	125.0
2022-12-30	2022-12-31	2023-04-14	214390	50.0
2022-12-30	2022-12-31	2023-04-11	012610	50.0
2022-12-30	2022-12-31	2023-04-04	009140	350.0
2022-12-30	2022-12-31	2023-04-21	013580	500.0
2022-12-30	2022-12-31	2023-04-18	012200	25.0
2022-12-30	2022-12-31	2023-04-18	012205	30.0
2022-12-30	2022-12-31	2023-04-21	081630	0.0
2022-12-30	2022-12-31	2023-04-07	002140	25.0
2022-12-30	2022-12-31	2023-03-17	049720	170.0
2022-12-30	2022-12-31	2023-03-30	010130	20000.0
2022-12-30	2022-12-31	2023-04-17	002240	300.0
2022-12-30	2022-12-31	2023-04-05	014570	180.0
2022-12-30	2022-12-31	2023-04-14	950190	92.47
2022-12-30	2022-12-31	2023-04-12	389970	0.0
2022-12-30	2022-12-31	2023-04-12	38997K	0.0
2022-12-30	2022-12-31	2023-04-12	38997L	0.0
2022-12-30	2022-12-31	2023-04-14	098460	140.0
2022-12-30	2022-12-31	2023-04-12	123900	90.0
2022-12-30	2022-12-31	2023-04-13	215000	4500.0
2022-12-30	2022-12-31	2023-04-14	121440	163.0
2022-12-30	2022-12-31	2023-04-17	366030	180.0
2022-12-30	2022-12-31	2023-04-07	076340	100.0
2022-12-30	2022-12-31	2023-04-20	009290	100.0
2022-12-30	2022-12-31	2023-04-12	017040	10.0
2022-12-30	2022-12-31	2023-04-18	017900	50.0
2022-12-30	2022-12-31	2023-04-20	037710	2200.0
2022-12-30	2022-12-31	2023-03-16	073980	500.0
2022-12-30	2022-12-31	2023-03-22	374760	0.0
2022-12-30	2022-12-31	2023-04-07	030610	200.0
2022-12-30	2022-12-31	2023-04-25	339770	200.0
2022-12-30	2022-12-31	2023-04-11	053270	30.0
2022-12-30	2022-12-31	2023-03-28	007690	1400.0
2022-12-30	2022-12-31	2023-04-21	066620	400.0
2022-12-30	2022-12-31	2023-04-05	043650	210.0
2022-12-30	2022-12-31	2023-04-07	060480	50.0
2022-12-30	2022-12-31	2023-04-25	063190	0.0
2022-12-30	2022-12-31	2023-04-18	035080	200.0
2022-12-30	2022-12-31	2023-04-07	204020	30.0
2022-12-30	2022-12-31	2023-04-11	083420	150.0
2022-12-30	2022-12-31	2023-04-18	186230	0.0
2022-12-30	2022-12-31	2023-04-18	18623N	5.0
2022-12-30	2022-12-31	2023-04-25	014530	200.0
2022-12-30	2022-12-31	2023-04-26	006250	0.0
2022-12-30	2022-12-31	2023-04-27	083450	300.0
2022-12-30	2022-12-31	2023-04-07	014280	120.0
2022-12-30	2022-12-31	2023-04-07	014285	130.0
2022-12-30	2022-12-31	2023-04-11	053260	120.0
2022-12-30	2022-12-31		282720	350.0
2022-12-30	2022-12-31	2023-04-06	002990	500.0
2022-12-30	2022-12-31	2023-04-06	002995	550.0
2022-12-30	2022-12-31	2023-04-21	011780	5400.0
2022-12-30	2022-12-31	2023-04-21	011785	5450.0
2022-12-30	2022-12-31	2023-04-14	036190	1300.0
2022-12-30	2022-12-31	2023-04-17	420770	750.0
2022-12-30	2022-12-31	2023-04-17	000270	3500.0
2022-12-30	2022-12-31	2023-04-03	409630	0.0
2022-12-30	2022-12-31	2023-04-03	40963K	0.0
2022-12-30	2022-12-31	2023-04-03	40963L	0.0
2022-12-30	2022-12-31	2023-04-28	013700	15.0
2022-12-30	2022-12-31	2023-04-14	121600	250.0
2022-12-30	2022-12-31	2023-04-14	12160M	2186.05
2022-12-30	2022-12-31	2023-04-14	12160N	5.0
2022-12-30	2022-12-31	2023-03-31	040970	0.0
2022-12-30	2022-12-31	2023-04-21	358400	0.0
2022-12-30	2022-12-31	2023-04-14	051490	70.0
2022-12-30	2022-12-31	2023-04-27	137080	100.0
2022-12-30	2022-12-31	2023-04-10	293580	180.0
2022-12-30	2022-12-31	2023-04-14	130580	182.0
2022-12-30	2022-12-31	2023-04-18	036800	650.0
2022-12-30	2022-12-31	2023-04-17	030190	370.0
2022-12-30	2022-12-31	2023-03-31	043960	0.0
2022-12-30	2022-12-31	2023-04-21	004270	25.0
2022-12-30	2022-12-31	2023-04-28	003920	1000.0
2022-12-30	2022-12-31	2023-04-28	003925	1050.0
2022-12-30	2022-12-31	2023-04-21	025860	100.0
2022-12-30	2022-12-31	2023-04-20	111710	300.0
2022-12-30	2022-12-31	2023-04-21	091590	200.0
2022-12-30	2022-12-31	2023-03-09	079180	0.0
2022-12-30	2022-12-31	2023-04-13	253590	35.0
2022-12-30	2022-12-31	2023-04-21	212560	100.0
2022-12-30	2022-12-31	2023-04-04	085910	250.0
2022-12-30	2022-12-31	2023-04-07	092730	700.0
2022-12-30	2022-12-31	2023-04-28	005720	110.0
2022-12-30	2022-12-31	2023-04-28	005725	115.0
2022-12-30	2022-12-31	2023-04-28	002350	100.0
2022-12-30	2022-12-31	2023-04-28	002355	105.0
2022-12-30	2022-12-31	2023-04-19	038990	139000.0
2022-12-30	2022-12-31	2023-04-17	348210	500.0
2022-12-30	2022-12-31	2023-04-28	298420	0.0
2022-12-30	2022-12-31	2023-04-21	090350	275.0
2022-12-30	2022-12-31	2023-04-21	090355	280.0
2022-12-30	2022-12-31	2023-04-21	000320	500.0
2022-12-30	2022-12-31	2023-04-21	000325	505.0
2022-12-30	2022-12-31	2023-04-20	194700	150.0
2022-12-30	2022-12-31	2023-04-17	285490	200.0
2022-12-30	2022-12-31	2023-04-07	006280	1750.0
2022-12-30	2022-12-31	2023-04-07	234690	100.0
2022-12-30	2022-12-31	2023-04-07	005250	300.0
2022-12-30	2022-12-31	2023-04-07	005255	305.0
2022-12-30	2022-12-31	2023-04-07	005257	300.0
2022-12-30	2022-12-31	2023-04-24	004370	5000.0
2022-12-30	2022-12-31	2023-04-27	072710	2500.0
2022-12-30	2022-12-31	2023-04-28	054050	200.0
2022-12-30	2022-12-31		419970	0.0
2022-12-30	2022-12-31		41997M	0.0
