배정기준일,현금배당지급일,종목코드,종목명,주당배당금
20231231,20240405,204020,그리티,100
20231231,,402490,그린리소스,0
20231231,,114450,그린생명과학,0
20231231,20240409,083420,그린케미칼,150
20231231,,186230,그린플러스,0
20231231,,18623N,그린플러스4우,0
20231231,20240423,014530,극동유화,200
20231231,20240426,006250,극동전선,0
20231231,20240426,083450,글로벌스탠다드테크놀로지,500
20231231,,204620,글로벌텍스프리,0
20231231,,019660,글로본,0
20231231,20240405,014280,금강공업,120
20231231,20240405,014285,금강공업1우,130
20231231,20240412,053260,금강철강,130
20231231,,001570,금양,0
20231231,20240412,282720,금양그린파워,300
20231231,20240419,011780,금호석유화학,2900
20231231,20240419,011785,금호석유화학1우,2950
20231231,,073240,금호타이어,0
20231231,20240412,036190,금화피에스시,1300
20231231,,049080,기가레인,0
20231231,20240417,420770,기가비스,800
20231231,,035460,기산텔레콤,0
20231231,,456700,길교이앤씨,0
20231231,20240426,013700,까뮤이앤씨,15
20231231,,308100,까스텔바작,0
20231231,,004540,깨끗한나라,0
20231231,,004545,깨끗한나라1우,0
20231231,,407400,꿈비,0
20231231,,286750,나노브릭,0
20231231,20240412,121600,나노신소재,250
20231231,20240412,12160M,나노신소재 3우,2186.05
20231231,20240412,12160N,나노신소재4우,5
20231231,,039860,나노엔텍,0
20231231,,091970,나노캠텍,0
20231231,,417010,나노팀,0
20231231,20240403,040970,나눔기술,0
20231231,20240429,244880,나눔테크,50
20231231,20240409,358400,나디아퍼시픽,0
20231231,,288490,나라소프트,0
20231231,20240412,051490,나라엠앤디,70
20231231,,137080,나래나노텍,0
20231231,,190510,나무가,0
20231231,,242040,나무기술,0
20231231,20240424,089600,나스미디어,700
20231231,20240412,293580,나우아이비캐피탈,18
20231231,,257990,나우코스,0
20231231,,138610,나이벡,0
20231231,20240411,130580,나이스디앤비,182
20231231,20240423,036800,나이스정보통신,730
20231231,20240417,030190,나이스평가정보,410
20231231,,267320,나인테크,0
20231231,,26732L,나인테크 2우,0
20231231,20240401,043960,낙스넷,0
20231231,,001260,남광토건,0
20231231,20240426,003920,남양유업,1000
20231231,20240426,003925,남양유업1우,1050
20231231,20240418,025860,남해화학,60
20231231,20240416,111710,남화산업,200
20231231,20240423,091590,남화토건,50
20231231,20240318,079180,내일신문,0
20231231,,168330,내츄럴엔도텍,0
20231231,,094860,네오리진,0
20231231,20240416,253590,네오셈,30
20231231,,212560,네오오토,150
20231231,20240418,095660,네오위즈,245
20231231,,950220,네오이뮨텍 KDR,0
20231231,20240403,085910,네오티스,200
20231231,20240409,092730,네오팜,750
20231231,,290660,네오펙트,0
20231231,,306620,네온테크,0
20231231,,30662L,네온테크2우,0
20231231,20240417,035420,네이버,790
20231231,,153460,네이블,0
20231231,,007390,네이처셀,0
20231231,,033640,네패스,0
20231231,,330860,네패스아크,0
20231231,20240426,005720,넥센,125
20231231,20240426,005725,넥센1우,130
20231231,20240426,002350,넥센타이어,115
20231231,20240426,002355,넥센타이어1우,120
20231231,20240418,038990,넥스콘테크놀러지,165000
20231231,,089140,넥스턴바이오사이언스,0
20231231,,137940,넥스트아이,0
20231231,,160550,넥스트엔터테인먼트월드,0
20231231,,396270,넥스트칩,0
20231231,20240423,348210,넥스틴,500
20231231,20240416,092790,넥스틸,700
20231231,,225570,넥슨게임즈,0
20231231,,217270,넵튠,0
20231231,,251270,넷마블,0
20231231,,317860,노드메이슨,0
20231231,,104620,노랑풍선,0
20231231,20240426,090350,노루페인트,325
20231231,20240426,090355,노루페인트1우,330
20231231,20240426,000320,노루홀딩스,500
20231231,20240426,000325,노루홀딩스1우,505
20231231,20240419,194700,노바렉스,200
20231231,20240426,285490,노바텍,500
20231231,,145170,노브랜드,0
20231231,20240415,14517K,노브랜드1우,0
20231231,,229500,노브메타파마,0
20231231,,22950L,노브메타파마 2우,0
20231231,,376930,노을,0
20231231,20240405,006280,녹십자,1500
20231231,20240405,234690,녹십자웰빙,100
20231231,20240405,005250,녹십자홀딩스,300
20231231,20240405,005255,녹십자홀딩스1우,305
20231231,20240405,005257,녹십자홀딩스2우,300
20231231,,065560,녹원씨엔아이,0
20231231,20240422,004370,농심,5000
20231231,20240426,072710,농심홀딩스,2500
20231231,20240419,054050,농업회사법인농우바이오,200
20231231,,069140,누리플랜,0
20231231,20240425,040160,누리플렉스,50
20231231,,332290,누보,0
20231231,,348340,뉴로메카,0
20231231,,123840,뉴온,0
20231231,,270870,뉴트리,0
20231231,20240423,349200,뉴트리원,0
20231231,20240422,144960,뉴파워프라즈마,50
20231231,,085670,뉴프렉스,0
20231231,,340360,다보링크,250
20231231,,154040,다산솔루에타,0
20231231,20240329,058730,다스코,100
20231231,20240415,023590,다우기술,700
20231231,20240417,032190,다우데이타,250
20231231,,323350,다원넥스뷰,0
20231231,,068240,다원시스,0
20231231,,145210,다이나믹디자인,0
20231231,20240418,009280,다함이텍,0
20231231,20240405,019680,대교,0
20231231,20240405,019685,대교 1우,45
20231231,20240412,006370,대구백화점,50
20231231,20240412,006375,대구백화점1우,100
20231231,20240426,000490,대동,100
20231231,20240426,00049K,대동1우,100
20231231,20240422,020400,대동금속,60
20231231,20240418,008830,대동기어,40
20231231,20240426,048470,대동스틸,30
20231231,20240405,004780,대륙제관,110
20231231,20240329,080610,대림,2000
20231231,20240412,005750,대림비앤코,110
20231231,20240419,017650,대림제지,100
20231231,,007720,대명소노시즌,0
20231231,,389260,대명에너지,0
20231231,20240415,317850,대모엔지니어링,40
20231231,20240419,078140,대봉엘에스,50
20231231,20240419,001680,대상,800
20231231,20240419,001685,대상1우,810
20231231,20240419,084690,대상홀딩스,270
20231231,20240419,084695,대상홀딩스1우,280
20231231,20240423,036480,대성미생물연구소,75
20231231,,128820,대성산업,0
20231231,20240418,117580,대성에너지,250
20231231,,027830,대성창업투자,0
20231231,,104040,대성파인텍,0
20231231,,129920,대성하이텍,0
20231231,20240425,016710,대성홀딩스,250
20231231,,438220,대신밸런스제13호기업인수목적,0
20231231,,442310,대신밸런스제14호기업인수목적,0
20231231,,457390,대신밸런스제15호기업인수목적,0
20231231,,457630,대신밸런스제16호기업인수목적,0
20231231,,471050,대신밸런스제17호기업인수목적,0
20231231,,045390,대아티아이,0
20231231,,108380,대양전기공업,0
20231231,,006580,대양제지공업,0
20231231,,014160,대영포장,0
20231231,,047040,대우건설,0
20231231,,009320,대우전자부품,0
20231231,20240412,003090,대웅,100
20231231,20240412,069620,대웅제약,600
20231231,,007680,대원,0
20231231,20240424,000430,대원강업,110
20231231,20240423,048910,대원미디어,100
20231231,20240403,005710,대원산업,175
20231231,20240419,003220,대원제약,300
20231231,,024890,대원화성,0
20231231,,290380,대유,0
20231231,,002880,대유에이텍,0
20231231,20240412,048740,대전방송,100
20231231,20240423,120240,대정화금,450
20231231,20240418,003310,대주산업,42
20231231,,114920,대주이엔티,0
20231231,,078600,대주전자재료,0
20231231,,012800,대창,0
20231231,,012805,대창1우,0
20231231,20240423,015230,대창단조,180
20231231,,096350,대창솔루션,0
20231231,20240426,140520,대창스틸,150
20231231,20240412,131220,대한과학,60
20231231,,010170,대한광통신,0
20231231,20240415,054670,대한뉴팜,100
20231231,,001070,대한방직,0
20231231,20240418,023910,대한약품공업,750
20231231,20240319,006650,대한유화,1000
20231231,,001440,대한전선,0
20231231,20240419,084010,대한제강,500
20231231,20240401,001790,대한제당,115
20231231,20240401,001795,대한제당1우,120
20231231,,001797,대한제당2우,0
20231231,20240415,001130,대한제분,2500
20231231,20240419,003490,대한항공,750
20231231,20240419,003495,대한항공1우,800
20231231,,005880,대한해운,0
20231231,20240425,003830,대한화섬,750
20231231,20240403,016090,대현,100
20231231,20240426,067080,대화제약,100
20231231,20240415,298540,더네이쳐홀딩스,400
20231231,20240415,29854K,더네이쳐홀딩스 1우,0
20231231,,032860,더라미,0
20231231,20240415,192080,더블유게임즈,1000
20231231,,393890,더블유씨피,0
20231231,,299170,더블유에스아이,0
20231231,,089230,더이앤엠,0
20231231,,302920,더콘텐츠온,0
20231231,,30292K,더콘텐츠온1우,0
20231231,,213420,덕산네오룩스,0
20231231,,077360,덕산하이메탈,0
20231231,20240419,004830,덕성,45
20231231,20240419,004835,덕성1우,50
20231231,20240412,090410,덕신이피씨,30
20231231,20240415,024900,덕양산업,50
20231231,,263600,덕우전자,0
20231231,20240424,446530,덕인,100
20231231,,194480,데브시스터즈,0
20231231,,199150,데이터스트림즈,0
20231231,,206560,덱스터스튜디오,0
20231231,,261200,덴티스,0
20231231,20240416,145720,덴티움,400
20231231,20240411,067990,도이치모터스,370
20231231,20240405,193030,도이치파이낸셜,0
20231231,20240405,19303P,도이치파이낸셜 5우,30
20231231,20240405,19303Q,도이치파이낸셜 6우,0
20231231,20240405,19303M,도이치파이낸셜3우,0
20231231,20240405,19303N,도이치파이낸셜4우,20
20231231,20240405,19303R,도이치파이낸셜7우,0
20231231,20240329,002150,도화엔지니어링,280
20231231,20240405,006620,동구바이오제약,120
20231231,,100130,동국S&C,0
20231231,20240419,005160,동국산업,130
20231231,20240408,460850,동국씨엠,100
20231231,20240419,075970,동국알앤에스,80
20231231,20240408,460860,동국제강,700
20231231,20240419,086450,동국제약,180
20231231,20240419,08645K,동국제약1우,519
20231231,20240409,001230,동국홀딩스,600
20231231,20240401,023450,동남합성,500
20231231,20240412,222070,동명스틸,150
20231231,20240425,004140,동방,20
20231231,,099410,동방선기,0
20231231,20240329,007590,동방아그로,300
20231231,20240329,007595,동방아그로1우,305
20231231,20240329,007597,동방아그로2우,0
20231231,20240425,005960,동부건설,300
